sede_id,sede_desc_castellano,sede_desc_ingles,pais_castellano,pais_ingles,region_geografica,pais_iso_2,pais_iso_3,pais_codigo_telefonico,ciudad_castellano,ciudad_ingles,ciudad_zona_horaria_gmt,ciudad_codigo_telefonico,estado,titular_nombre,titular_apellido,titular_cargo,direccion,codigo_postal,telefono_principal,telefonos_adicionales,celular_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_electronicos_adicionales,sitio_web,sitios_web_adicionales,redes_sociales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,atencion_comentario,concurrencias,circunscripcion
CGUAN,"Consulado  General  en  Guangzhou","Consulate  General  in  Guangzhou","REPÚBLICA  POPULAR  DE  CHINA","PEOPLE’S  REPUBLIC  OF  CHINA","ASIA",CN,CHN,"86","Guangzhou","Guangzhou",8,20,Activo,"Luciano  M.  ","Donadio  Linares","Cónsul","Edificio  Teem  Tower, Calle  Tianhe  Nº  208  Piso  24, oficina  2405, Barrio  Tianhe","510620","(86-20)  3888  0328","","(86)  15112180308","","(86-20)  3888  0326","(86-20)  3888  0326","cguan@mrecic.gov.ar","","cguan.cancilleria.gob.ar","","",,,,,"9:00  a  17:00  hrs.","","Provincias  de  Guangdong, Fujian  y  Hainan  y  la  Región  Autónoma  de  Guangxi" 
CGUAY,"Consulado  en  Guayaquil","Consulate  in  Guayaquil","REPÚBLICA  DEL  ECUADOR","REPUBLIC  OF  ECUADOR","AMÉRICA  DEL  SUR",EC,ECU,"593","Guayaquil","Guayaquil",-5,4,Activo,"María  Paula  ","Casado  Sastre","Cónsul  General","Av.  Las  Monjas  #  10  y  Av.  Carlos  Julio  Arosemena, Edificio  Hamburgo  PB,   Guayaquil, Ecuador","--------------------","(593-4)  2221525","(593-4)  2207987","(593-9)  95976198","",,"","cguay@cancilleria.gov.ar","turnos_cguay@cancilleria.gov.ar","cguay.cancilleria.gob.ar","","",,,,,"08:00  A  16:00","","Guayas, Manabí, Los  Rios, Bolivar, Cañar, Azuay, Morona  Santiago, Zamora  Chinchipe, El  Oro, Santa  Elena, Loja  y  Archipielago  de  Colón  (Islas  Galapagos)" 
CGVAN,"Consulado  General  en  Vancouver","Consulate  General  in  Vancouver","CANADÁ","CANADA","AMÉRICA  DEL  NORTE",CA,CAN,"1","Vancouver","Vancouver",-8,604,Activo,"Ricardo  ","Arredondo","Cónsul  General","860  Homer  St., Suite  407, Vancouver, BC","V6B  2W5","(593-4)  2221525","","1  672  200  2743  (ARGE)","",,"","cgvan@cancilleria.gob.ar","","cgvan.cancilleria.gob.ar","","",,,,,"","","Provincias  de  British  Columbia  y  Alberta  y  Territorios  de  Yukon  y  del  Noroeste  " 
CHAMB,"Consulado  General  en  Hamburgo","Consulate  General  in  Hamburg","REPÚBLICA  FEDERAL  DE  ALEMANIA","FEDERAL  REPUBLIC  OF  GERMANY","EUROPA  OCCIDENTAL",DE,DEU,"49","Hamburgo","Hamburg",1,40,Activo,"Laura  ","Ramírez  Barrios","Cónsul  General","Mönckebergstraße  22","20095","00  (49-40)  4418460","","00  (49-172)  4005388","","00  (49-40)  4105103","","chamb@mrecic.gov.ar","","chamb.cancilleria.gob.ar","","",Lunes,Martes,09:00:00,16:00:00,"9  -  16  hs  (horario  corrido)","","Estados  Federados  alemanes  de  Hamburgo, Bremen, Baja  Sajonia, Schleswig-Holstein  y  Mecklemburgo  Pomerania  Occidental" 
CHONG,"Consulado  General  en  Hong  Kong","Consulate  General  in  Hong  Kong","REPÚBLICA  POPULAR  DE  CHINA","PEOPLE’S  REPUBLIC  OF  CHINA","ASIA",CN,CHN,"86","Hong  Kong","Hong  Kong",8,2,Activo,"María  Verónica","GRYGIANIEC","Cónsul  Adjunto  a.c.","1517-1519  Jardine  House, 1  Connaught  Place, Central","s/c","(852)  2523  3208","","(852)  96731780","","(852)  2877  0906","","chong@mrecic.gov.ar","","https://chong.cancilleria.gob.ar","","",Lunes,Viernes,09:00:00,17:00:00,"09.00  -  17.00","","Regiones  Administrativas  Especiales  de  Hong  Kong  y  Macao" 
CHOUS,"Consulado  General  en  Houston","Consulate  General  in  Houston","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Houston","Houston",-2,713,Activo,"María  Cristina  ","Tosonotti","Cónsul  General","2200  West  Loop  South  Suite1025, Houston  TX  77027","77027","(001-713)  871  8935","","(001-832)  544  8086","","(001-713)  871  0639","","chous@mrecic.gov.ar","","www.chous.mrecic.gov.ar","","@ARGenHouston  //  https://www.facebook.com/ArgentinaEnHouston/  //  ",Lunes,Viernes,09:00:00,13:00:00,"09:00  a  13:00  Hs.","","Texas, Nuevo  Mexico, Colorado, Arkansas, Oklahoma, Luisiana" 
CJOHA,"Consulado  General  en  Johannesburgo","Consulate  General  in  Johannesburg","REPÚBLICA  DE  SUDÁFRICA","REPUBLIC  OF  SOUTH  AFRICA","ÁFRICA  SUBSAHARIANA",ZA,ZAF,"27","Johannesburgo","Johannesburg",2,11,Activo,"Carlos  Federico  ","Tagle","Cónsul  General","13  Fredman  Drive,   Piso  9  Fredman  Towers, Sandton, Johannesburgo","2196","00  27  11  783  9032","","00  27  83  453  7930","","00  27  11  783  9032","","cjoha@mrecic.gov.ar","","http://www.cjoha.mrecic.gob.ar","","",Lunes,Viernes,,,"08:00  a  13:00  Atención  al  público","LESOTHO, ESWATINI, NAMIBIA, BOTSWANA, MAURICIO, MALAWI, ZAMBIAZIMBABWE","República  de  Botswana    -  República  de  Malawi    -  República  de  Mauricio    -  República  de  Namibia    -  República  de  Sudáfrica    -  República  de  Zambia    -  República  de  Zimbabwe    -  Reino  de  Eswatini    -  Reino  de  Lesotho" 
CLANG,"Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles","Consulate  General  and  Promotion  Center  in  Los  Angeles","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Los  Angeles","Los  Angeles",-7,323,Activo,"Rubén  Eduardo","Caro","Embajador","5055  Wilshire  Boulevard  Suite  210","CA  90036","00  1  (323)  954  9155","","00  1  (323)  459  9780","","00  1  (323)  934  9076","","clang@mrecic.gov.ar","","https://clang.cancilleria.gob.ar","","https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel    //  @arg_clang  //  ",Lunes,Viernes,09:00:00,18:00:00,"al  público  9:00  a  13:00  /  general  9:00  a  18:00","","ALASKA, ARIZONA, CALIFORNIA, IDAHO, MONTANA, NEVADA, OREGON, UTAH, WASHINGTON, WYOMING, HAWAII  E  ISLAS  DEL  PACIFICO" 
CLIMA,"Consulado  General  en  Lima","Consulate  General  in  Lima","REPÚBLICA  DEL  PERÚ","REPUBLIC  OF  PERU","AMÉRICA  DEL  SUR",PE,PER,"51","Lima","Lima",-5,1,Activo,"Samuel  ","Ortiz  Basualdo","Cónsul  General","Pablo  Bermúdez  143  2do  Piso","Lima  01","2052105","2052107","00  51  924  170  215","","2052111","","clima@mrecic.gov.ar","","https://clima.cancilleria.gob.ar","","",Lunes,Viernes,09:00:00,13:00:00,"09:00  a  13:00  hs  (atención  al  público)","","todo  Perú" 
CLOND,"Consulado  General  en  Londres","Consulate  General  in  London","REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE","UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND","EUROPA  OCCIDENTAL",UK,GRB,"44","Londres","London  ",0,207,Activo,"Carolina","Pérez  Colman","Cónsul  General","27  Three  Kings  Yard","W1K  4DF","(00-44)  207  3181340","","(00-44)  7802457931","","(00-44)  207  3181349","","clond@mrecic.gov.ar","","www.clond.mrecic.gov.ar","","https://www.instagram.com/consuladoargentinoenlondres/  //  ",,,,,"Público:  9.30  -  13  hs    /    Telefónica:  9.30  -  13  hs","","Reino  Unido  de  Gran  Bretaña  e  Irlanda  del  Norte, las  Islas  del  Canal  (Jersey  y  Guernsey), la  Isla  de  Man  y  los  siguientes  territorios  dependientes:  Anguila, Bermuda, Islas  Vírgenes  Británicas, Islas  Cayman, Gibraltar, Montserrat, Santa  Helena    (excluyendo  dependencias  de  Ascension  y  Tristan  Da  Cunha)  y  las  Islas  Turks  y  Caicos." 
CMADR,"Consulado  General  en  Madrid","Consulate  General  in  Madrid","REINO  DE  ESPAÑA","KINGDOM  OF  SPAIN","EUROPA  OCCIDENTAL",ES,ESP,"34","Madrid","Madrid",1,91,Activo,"Mónica  Elsa  ","García","Cónsul  General","Calle  Fernando  el  Santo  Nº  15","28010","(34)  91  402  5115","","(34)  609240408","","(34)  91  309  1996","","info_cmadr@mrecic.gov.ar","","https://cmadr.cancilleria.gob.ar","","https://www.facebook.com/ArgentinaEnMadridEsp/  //  ",,,00:00:00,00:00:00,"08:30  a  16:00  (Recepción  de  trámites  hasta  13.00)","","Provincias  de  Madrid, Toledo, Ciudad  Real, Albacete, Cuenca, Guadalajara, Segovia, Avila, Salamanca, Valladolid, Soria, Burgos, Palencia, Cantabria, Vizcaya, Guipuzcoa, Alava, Navarra, La  Rioja, Cáceres, Badajoz, Murcia." 
CMALD,"Consulado  en  Maldonado","Consulate  in  Maldonado","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Maldonado","Maldonado",-3,42,Activo,"Bárbara  G.  ","Vera  Figueroa","Cónsul","Sarandí  822, Maldonado, República  Oriental  del  Uruguay","20.000","(00598)  42221195","(00598)  42229679","(00598)  98356600","","(00598)  42243966, interno  205","","cmald@mrecic.gov.ar","","cmald.cancilleria.gov.ar","","https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  https://www.instagram.com/consulado_argentino/  //  ",Lunes,Viernes,12:30:00,17:00:00,"","","Maldonado  y  Rocha" 
CMALL,"Consulado  en  Palma","Consulate  in  Palma","REINO  DE  ESPAÑA","KINGDOM  OF  SPAIN","EUROPA  OCCIDENTAL",ES,ESP,"34","Palma","Palma",5,971,Activo,"Mónica  Clarisa  ","Avogadro","Cónsul","Calle  San  Miguel  30, Piso  4º  C","07002","0034  971  721  955","","0034  634976049","","0034  971  714  630","","cmall@mrecic.gov.ar","secretaria_cmall@mrecic.gov.ar","cmall.mrecic.gov.ar","","https://www.facebook.com/ArgentinaEnPalmaDeMallorca  //  ",Lunes,Viernes,08:30:00,14:00:00,"","","Archipiélago  de  las  Islas  Baleares, integrado  por  las  islas  de  Mallorca, Menorca, Ibiza, Formentera  y  Cabrera" 
CMDEO,"Consulado  General  en  Montevideo","Consulate  General  in  Montevideo","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Montevideo","Montevideo",-3,2,Activo,"Cristina  ","Dellepiane","Cónsul  General","Wilson  Ferreyra  Aldunate  1281","11.100","00  598  2  902  8623","00  598  2  902  8625","00598  99  667  991","","00  598  2  902  0667","","cmdeo@mrecic.gov.ar","visasmontevideo@mrecic.gov.ar  //  tramitesmontevideo@mrecic.gov.ar  //  legalizacionesmontevideo@mrecic.gov.ar","www.cmdeo.mrecic.gov.ar","","https://www.facebook.com/ArgentinaEnMontevideo/  //  ",Lunes,Viernes,13:00:00,18:30:00,"De  13,00  horas  a  18,30  horas","","Montevideo, Canelones, Cerro  Largo, Florida, Lavalleja, y  Treinta  y  Tres" 
CMEXI,"Consulado  General  en  México","Consulate  General  in  Mexico","ESTADOS  UNIDOS  MEXICANOS","UNITED  MEXICAN  STATES","AMÉRICA  DEL  NORTE",MX,MEX,"52","México","Mexico",-5,55,Activo,"María  Gabriela  ","Quinteros","Cónsul  General","Av.  Paseo  de  la  Reforma  N°  373  Piso  4, Col.  Cuauhtémoc, Del.  Cuauhtémoc, Ciudad  de  México","06500","00  52  55  5202-3680","00  52  55  5540-3288","00  52  1  55  8556-0472","",,"","cmexi@mrecic.gov.ar","pasportes_cmexi@mrecic.gov.ar  //  renaper_cmexi@mrecic.gov.ar  //  legalizaciones_cmexi@mrecic.gov.ar  //  visas_cmexi@mrecic.gov.ar  //  notariales_cmexi@mrecic.gov.ar","https://cmexi.cancilleria.gob.ar","","",,,00:00:00,00:00:00,"Atención  personal:  Lunes  a  Viernes  de  8:00  a  14.00  //    //  Atención  telefónica:  Lunes  a  Viernes  de  8:00  a  16.00","","Todo  el  territorio  de  los  Estados  Unidos  Mexicanos  y  Belice" 
CMIAM,"Consulado  General  y  Centro  de  Promoción  en  Miami","Consulate  General  and  Promotion  Center  in  Miami","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Miami","Miami",-1,305,Activo,"Leandro","Fernández  Suárez","Cónsul  General","1101  Brickell  Ave.  Suite  900  North  Tower","33131","+1  305  373  1889","","+1  305  373  1889","","00  1  305  373  1598","","cmiam@mrecic.gov.ar","privada_cmiam@mrecic.gov.ar","www.cmiam.cancilleria.gov.ar","","https://es-la.facebook.com/consuladoargentino.miami/  //  consuladoargentinomia  //  @argenmiami  //  ",Lunes,Viernes,08:30:00,16:30:00,"Cerrado  de  13.30  a  14.30","BAHAMAS","Estado  de  Florida, E.L.  Asociado  de  Puerto  Rico, Bahamas, Islas  Vírgenes  Estadounidenses." 
CMILA,"Consulado  General  y  Centro  de  Promoción  en  Milán","Consulate  General  and  Promotion  Center  in  Milan","REPÚBLICA  ITALIANA","ITALIAN  REPUBLIC","EUROPA  OCCIDENTAL",IT,ITA,"39","Milan","Milan",1,02,Activo,"Emb.  Luis  Pablo","Niscovolos","Cónsul  General","Via  Agnello  2","20121","00  39  (02)  77729401","","0039  347  780  3268","","00390277729444","","cmila@cancilleria.gov.ar","","cmila.cancilleria.gob.ar","","https://www.facebook.com/ConsuladoArgentinoenMilan  //  https://www.instagram.com/consuladoargentinoenmilan/  //  https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //  ",Lunes,Viernes,,,"8.30  a  16:30","","Regiones  de:  Piamonte  (Alessandria, Asti, Biella, Cuneo, Novara, Torino, Verbano-Cusio, Vercelli), Valle  de  Aosta  (Aosta), Liguria  (Genova, Imperia, La  Spezia, Savona), Lombardia  (Bergamo, Brescia, Como, Cremona, Lecco, Lodi, Mantova, Milano, Monza-Brianza, Pavia, Sondrio, Varese), Trentino  -  Alto  Adigio  (Bolzano, Trento), Veneto  (Belluno, Padova, Rovigo, Treviso, Venezia, Verona, Vicenza), Friul  -  Venecia  Julia  (Gorizia, Pordenone, Trieste, Udine), Emilia  Romaña  (Bologna, Ferrara, Forli-Cesena, Modena, Parma, Piacenza, Ravenna, Reggio  Emilia, Rimini)." 
CMREA,"Consulado  General  en  Montreal","Consulate  General  in  Montreal","CANADÁ","CANADA","AMÉRICA  DEL  NORTE",CA,CAN,"1","Montreal","Montreal",-4,514,Activo,"Gerardo  Ezequiel  ","Bompadre","Cónsul  General","2000  rue  Peel, Suite  600, Montreal, Quebec  (H3A  2W5)","H3A  2W5","(1-  514)  8426582","","(1-  514)  7999760","","(1  -514)  8425797","","cmrea@mrecic.gov.ar","","https://cmrea.cancilleria.gob.ar","","",,,00:00:00,00:00:00,"Al  público  9:30  a  12:30  -  Oficinas:  9:00  a  17:00","","Provincias  de  Québec, Nueva  Escocia, Nuevo  Brunswick, Isla  del  Príncipe  Eduardo, Terranova  y  Labrador, y  la  ciudad  de  Ottawa." 
CNYOR,"Consulado  General  y  Centro  de  Promoción  en  Nueva  York","Consulate  General  and  Promotion  Center  in  New  York","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Nueva  York","New  York",-4,212,Activo,"Santiago  A.  ","Villalba  Díaz","Cónsul  General","12  West  56  Street","10019","1  212  603  0400","1  212  603  0446","1  646  283  5892","",,"","cnyor@mrecic.gov.ar","","https://cnyor.cancilleria.gob.ar","","https://www.facebook.com/ARGenNewYork  //  https://twitter.com/ARGenNewYork  //  https://www.instagram.com/argennewyork/  //  https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg  //  ",Lunes,Viernes,09:00:00,17:00:00,"","","Nueva  York, Connecticut, Nueva  Jersey, Maine, Rhode  Island, Nueva  Hampshire, Massachussets, Vermont." 
CPABL,"Consulado  General  y  Centro  de  Promoción  en  San  Pablo","Consulate  General  and  Promotion  Center  in  Sao  Paolo","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","San  Pablo","Sao  Paolo",0,11,Activo,"Luis  María  ","Kreckler","Cónsul  General","Avenida  Paulista  2313, Entrepiso","CEP  01311-100","(55-11)  38979522  ","(55-11)  38979530  ","(55-11)  996041561","","(55-11)  38979529  ","(55-11)  30828019  ","cpabl@mrecic.gov.ar","cpablconsular@mrecic.gov.ar  //  comercialsanpablo@mrecic.gov.ar","www.cpabl.mrecic.gov.ar","","consuladoargentinosp@gmail.com  //  ",Lunes,Viernes,09:00:00,17:30:00,"Horario  de  atención  del  Consulado  General  9:00  a  17:30  //    //  Atención  consular  presencial  de  9:00  a  13:00  //    //  Atención  telefónica  de  14:30  a  17:30","","Estados  de  San  Pablo  y  Mato  Grosso  do  Sul" 
CPAYS,"Consulado  en  Paysandú","Consulate  in  Paysandu","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Paysandú","Paysandu",-3,722,Activo,"Nicolás","Domingo","Cónsul","Leandro  Gómez  1034","60000","(00598)  4722  2253","(00598)  4722  7199","(00598)  99638375","(00598)  99638375","(00598)  4722  9269  ","","cpays@mrecic.gov.ar","","www.cpays.mrecic.gov.ar","","",,,,,"13  -18  horas, de  lunes  a  viernes","","Departamentos  de  Paysandú  y  de  Tacuarembó" 
CPCAR,"Consulado  en  Playa  del  Carmen","Consulate  in  Playa  del  Carmen","ESTADOS  UNIDOS  MEXICANOS","UNITED  MEXICAN  STATES","AMÉRICA  DEL  NORTE",MX,MEX,"52","Playa  del  Carmen","Playa  del  Carmen",-5,984,Activo,"Lautaro","Filchtinsky","Cónsul","Plaza  Riviera  Centre  –  1°  Piso, Locales  108-109    Calle  41  sur  y  Carretera  Federal  (50  avenida  norte).    Playa  del  Carmen, Quintana  Roo, Estados  Unidos  Mexicanos","77710","+52  984  231  2321","","+52  998  103  8570","",,"","cpcar@mrecic.gov.ar","","cpcar.cancilleria.gob.ar","","",,,,,"","","Estados  Mexicanos  de  Quintana  Roo, Yucatán, Campeche  y  todo  el  territorio  de  Belice" 
CPMON,"Consulado  en  Puerto  Montt","Consulate  in  Puerto  Montt","REPÚBLICA  DE  CHILE","REPUBLIC  OF  CHILE","AMÉRICA  DEL  SUR",CL,CHL,"56","Puerto  Montt","Puerto  Montt",-3,65,Activo,"José  Andrés  ","Basbus","Cónsul","Pedro  Montt  160, 6to.  Piso","5480000","(56-65)  2505290","(56  65)  2505295","(56-9)99645518","","(56-65)  2505293","","cpmon@mrecic.gov.ar","","http://cpmon.mrecic.gov.ar/","","https://www.facebook.com/ArgentinaEnPuertoMontt/  //  ",Lunes,Viernes,09:00:00,14:00:00,"09:00  a  14:00  hs.    Entre  los  meses  de  abril  y  octubre, se  retrasa  una  hora  con  respecto  a  la  hora  Argentina.  ","","Regiones  X  ;  XI  y  XIV" 
CRECI,"Consulado  en  Recife","Consulate  in  Recife","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Recife","Recife",-3,81,Activo,"Alejandro","Funes  Lastra","Cónsul  General","Rua  Padre  Carapuceiro  858, Sala  901, Boa  Viagem","CEP  51020-280","+55  (81)  3131  9000  /  9001  /  9008","","+55  (81)  97112  6351","","55  -  ","","creci@mrecic.gov.ar","","creci.mrecic.gov.ar","","https://www.facebook.com/ArgentinaEnBrasilRecife  //  https://www.instagram.com/consuladoargentinorecife  //  ",Lunes,Viernes,09:00:00,14:00:00,"09:00  a  14:00","","Estados  de  Pernambuco, Alagoas, Paraíba, Rio  Grande  Do  Norte, Ceara, Piauí, Maranhão." 
CRIOJ,"Consulado  General  en  Rio  de  Janeiro","Consulate  General  in  Rio  de  Janeiro","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Río  de  Janeiro","Rio  de  Janeiro",-3,21,Activo,"Claudio","Gutiérrez","Cónsul  General","Edifício  Argentina, Praia  de  Botafogo  228, Sobreloja  201, Barrio  Botafogo, Río  de  Janeiro.                                                    CEP  22250-906","22250-906","00  55  (21)  3850  -  8150","","00  55  (21)  98476  -  0444","",,"","crioj@cancilleria.gob.ar","","crioj.cancilleria.gov.ar","","https://www.facebook.com/ArgentinaEnRiodeJaneiro/  //  ",Lunes,Viernes,10:00:00,15:00:00,"Horario  de  trabajo:  9:30  a  17:30    //    //  At.  al  público  consular  10  a  15  hs  //    //    //    //  Por  protocolo  sanitario  nos  encontramos  atendiendo  unicamente  con  turno  previo.","","Río  de  Janeiro  y  Espirito  Santo." 
CROMA,"Consulado  General  en  Roma","Consulate  General  in  Rome","REPÚBLICA  ITALIANA","ITALIAN  REPUBLIC","EUROPA  OCCIDENTAL",IT,ITA,"39","Roma","Rome",1,06,Activo,"Ana  de  la  Paz  ","Tito","Cónsul  General","Via  Barberini  67  -  2do  piso  ","00187","0039  0642870023","0039  064  2012451","0039  335  603  1207","","0039  064  83586","","croma@mrecic.gov.ar","","www.croma.mrecic.gov.ar","","@ArgEnRoma  //  @consuladoargentinoenroma  //  ",Lunes,Viernes,08:30:00,13:00:00,"","","Abruzzo  (Chieti, Aquila, Pescara, Teramo), Basilicata  (Matera, Potenza), Calabria  (Catanzaro, Consenza, Crotone, Reggio  Calabria, Vibo  Valentia), Campania  (Avellino, Benevento, Caserta, Nápoles, Salerno), Cerdeña  (Cagliari, Nuoro, Oristano, Sassari), Lazio  (Frosinone, Latina, Rieti, Roma, Viterbo), Marche  (Ancona, Ascoli  Piceno, Macerata, Pesaro, Urbino), Molise  (Campobasso, Isernia), Puglia  (Bari, Brindisi, Foggia, Lecce, Taranto), Sicilia  (Agrigento, Caltanisetta, Catania, Etna, Messina, Palermo, Ragusa, Siracusa, Trapani), Toscana  (Arezzo, Florencia, Grosetto, Livorno, Lucca, Massa, Carrara, Pisa, Pistoia, Prato, Siena), Umbria  (Perugia, Ternia), Albania, Malta  y  San  Marino      " 
CSBAH,"Consulado  en  San  Salvador  de  Bahía","Consulate  in  Sao  Salvador  de  Bahia","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","San  Salvador  de  Bahia","Sao  Salvador  de  Bahia",-3,71,Activo,"  Pablo  Exequiel  ","Virasoro","Cónsul","Avenida  Centenário  N°  2411, 13°  Piso, Edificio  Empresarial  Centenário, Chame-Chame, Salvador, BA.  CEP:  40155-151","40155-151","00  55  (71)  3241-4863","00  55  (71)  3241-4863","00  55    (71)  99965-6146","00  55  71  99901-4588","00  55  (71)  3241-4862","","csbah@mrecic.gov.ar, consulares_csbah@mrecic.gov.ar, comercial_csbah@mrecic.gov.ar, adm_csbah@mrecic.gov.ar, cultura_csbah@mrecic.gov.ar","","https://csbah.cancilleria.gob.ar","","https://www.instagram.com/argentinaensalvador  //  https://www.facebook.com/ArgentinaenSalvador  //  https://twitter.com/ArgentinaEnSSA  //  ",,,00:00:00,00:00:00,"09:00  a  13:00  hs.  (funcionamiento  de  08  a  16  hs)","","Estados  de:  Bahía, Sergipe, Amapá, Pará  y  Tocantins" 
CSCRS,"Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz","Consulate  General  and  Promotion  Center  in  Santa  Cruz","ESTADO  PLURINACIONAL  DE  BOLIVIA","PLURINATIONAL  STATE  OF  BOLIVIA","AMÉRICA  DEL  SUR",BO,BOL,"591","Santa  Cruz","Santa  Cruz",-4,3,Activo,"Ramiro  Ignacio  ","Lascano","Cónsul  General","Calle  Junín  N°  22-  Edificio  Bco.  Nación  Argentina  3°  Piso  ","00","(00-  591-  3)  332  4153","(00-  591-  3)  334  7133","(00-  591  )  70400488","","(00-  591-  3)  334  8200","","cscrs@mrecic.gov.ar","","https://cscrs.cancilleria.gob.ar/","","cscrs2018  //  www.facebook.com/ArgEnSantaCruz  de  la  Sierra  //  ",Lunes,Viernes,08:30:00,13:00:00,"08:30  a  13:00  hs  Horario  de  Atención  al  Público","","Departamentos  de  Santa  Cruz, Beni  y  Pando" 
CSHAN,"Consulado  General  y  Centro  de  Promoción  en  Shanghai","Consulate  General  and  Promotion  Center  in  Shangai","REPÚBLICA  POPULAR  DE  CHINA","PEOPLE’S  REPUBLIC  OF  CHINA","ASIA",CN,CHN,"86","Shanghái","Shanghái",8,21,Activo,"Luciano  ","Tanto  Clément","Cónsul  General","58  YanAn  Road  East, Golden  Finance  Tower","200002","00  86  (21)  6339  0322","","00  86  18017937266","","00  86  (21)  5350  0058","","cshan@mrecic.gov.ar","argen_cshan@mrecic.gov.ar","www.cshan.mrecic.gov.ar","","",,,,,"de  09:00  a  17:00  hs.","","Municipalidad  de  Shanghai  y  Provincias  de  Anhui, Jiangsu  y  Zhejiang" 
CSIDN,"Consulado  General  en  Sidney","Consulate  General  in  Sydney","AUSTRALIA","AUSTRALIA","OCEANÍA",AU,AUS,"61","Sidney","Sydney",10,2,Activo,"  Silvina  Laura","Aguirre","Consul/esa  General","Level  20, 44  Market  St., Sydney  NSW  2000","2000","+  61  (02)  92622933","","+  61  (0)  411867899","","+  61  (02)  92623998","","csidn@mrecic.gov.ar","","http://csidn.mrecic.gov.ar","","https://www.facebook.com/ArgentinaEnSidney/  //  ",Lunes,Viernes,09:00:00,15:00:00,"","","Todo  el  territorio  de  la  Mancomunidad  de  Australia, Estado  Independiente  de  Papúa  Nueva  Guinea, República  de  Vanuatu, República  de  Fiji, territorio  de  las  Islas  Salomon" 
CSIGO,"Consulado  General  en  Santiago","Consulate  General  in  Santiago","REPÚBLICA  DE  CHILE","REPUBLIC  OF  CHILE","AMÉRICA  DEL  SUR",CL,CHL,"56","Santiago","Santiago",-4,2,Activo,"  Rodolfo  ","Norton","Cónsul  General","Vicuña  Mackenna  41, Santiago","-","00  562  2582  2606","00  562  2582  2609","(56-9)  95336170","","00562  2222  6853","","csigo@mrecic.gov.ar","","www.csigo.mrecic.gov.ar","","",,,,,"LU-VI  09-14  (Trámites)  15-17  (consultas  telef.)","","REGION  METROPOLITANA  Y  REGION  DE  O´HIGGINS" 
CSLTO,"Consulado  en  Salto","Consulate  in  Salto","REPÚBLICA  ORIENTAL  DEL  URUGUAY","REPUBLIC  OF  URUGUAY","AMÉRICA  DEL  SUR",UY,URY,"598","Salto","Salto",-3,73,Activo,"Carola  ","Del  Río","Consul/esa","Artigas  1162","50.000","(00  598-473)  32931","(00  598-473)  327166","(00  598)  99731474","",,"","cslto@mrecic.gov.ar","","www.cslto.mrecic.gov.ar","","@consuladoargentinoensalto  //  ",,,00:00:00,00:00:00,"09.00  a  14.00  hs","","Departamentos  de  Salto, Artigas  y  Rivera" 
