sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ECOLO,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","","","Jefe  de  Sección","57-601-  288  0900","",,"","","","ecolo@cancilleria.gob.ar","",,"",,,,,"07.00  a  17.00",
EHILE,"Jefe  de  Cancillería","Head  of  Chancery","Seccion","Javier  ","Lareo","Jefe  de  Misión  Adjunto","2582  2516","",,"","56-2-2639  3321","","privadacancilleria_ehile@mrecic.gov.ar","","http://www.ehile.cancilleria.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EBRAS,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Rodrigo  Carlos  ","Bardoneschi","Jefe  de  Misión  Adjunto","55  61  3212-7600","",,"","55  61  3212-7666","","ebras@mrecic.gob.ar","",,"",,,00:00:00,00:00:00,"",
EPERU,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Verónica  ","Chiffel  Figueiredo","Jefa  de  Misión  Adjunta","","",,"","","","eperu@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EBARB,"Jefe  de  Cancillería","Charge  d'affaires","Seccion","Angel  Gustavo  ","Dalmazzo","Jefe  de  Sección",,"",,"",,"","ebarb@cancilleria.gob.ar","",,"",,,,,"08.30  a  15.30",
EMEXI,"Jefe  de  Misión","Chief  of  Mission","Seccion","Carlos  Alfonso  ","Tomada","Embajador","52  5555209430","",,"",,"","privada-emexi@mrecic.gov.ar","",,"",,,,,"9:00  a  17:00  hs",
EESPA,"Jefe  de  Misión  Adjunto","Chancellery","Seccion","Roberto  S.  ","Bosch  Estévez","Jefe  de  Oficina","34  917710500  -19","",34  639707564,"","34  91  7710526","","eespa@mrecic.gov.ar","","http://eespa.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"9.00  a  17.00  hs",
EPORT,"JEFE  DE  SECCIÓN  CONSULAR","CHIEF  OF  CONSULAR  SECTION","Seccion","Mariano  Andrés","Guida","Jefe  de  Sección  Consular","00351  21  79  60  517","",00351  919  021  535,"","","","seconeport@mrecic.gov.ar","",,"",Lunes,Viernes,09:30:00,14:30:00,"HORARIO  CONSULADO",
EPORT,"JEFE  DE  SECCIÓN  CULTURAL","CHIEF  OF  CULTURAL  SECTION","Seccion","Hugo  Hernán","Bubenik","Jefe  de  Sección  Cultural","00351  21  79  59  223","",,"","","","eport@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"SECCIÓN  CULTURAL",
EPORT,"JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL","Chief  of  Economic  and  Commercial  Section","Seccion","Martín  Leonardo  ","Soto","Jefe  de  Sección  Económica  y  Comercial","00351  21  79  59  223","",,"","","","eport@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"HORARIO  DE  EMBAJADA.",
EFILI,"Josefina  Marcela  Gallo  Morando","Josefina  Marcela  Gallo  Morando","Seccion","","","Agregada","63  2  88453219  ","",,"",,"","embajada_efili@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
EFILI,"Mauricio  Germán  Muñoz","Mauricio  Germán  Muñoz","Sección  Consular","","","Jefe  de  Sección  Consular","63  2  88453218","",63  9178366925  ,"",,"","secon_efili@mrecic.gov.ar","visas_efili@mrecic.gov.ar",,"",Lunes,Viernes,09:00:00,16:00:00,"",
EBOLV,"Misión  Naval  Argentina","MISIÓN  NAVAL  ARGENTINA","Seccion","JORGE  ALEJANDRO  ","ZALAZAR","Agregado","591  2  2435260","591  2  2435242",,"",,"","misionsecretaria@hotmail.com","",,"",,,00:00:00,00:00:00,"",
EBOLV,"Mujeres, Género, Diversidad  y  Medio  Ambiente","GÉNERO, DIVERSIDAD, MEDIO  AMOBIENTE","Seccion","Gabriela  Amelia  ","Gilistro","Jefe  de  Sección","591  2  2417737","",,"",,"","igw@mrecic.gov.ar","","ebolv.mrecic.gov.ar","",,,00:00:00,00:00:00,"",
EMEXI,"Negociaciones  Económicas  Bilaterales","Negociaciones  Económicas  Bilaterales","Seccion","Augusto  Pablo  ","Riva","Jefe  de  Oficina",,"",,"",,"","comercial-emexi@mrecic.gov.ar","",,"",,,,,"",
DITIC,"nueva","nuva","Seccion","test","test","Agregado",,"",54  911,"",,"54  (11)  7677","ditic@mrecic.gov.ar","",,"",,,08:30:00,18:00:00,"",
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad","Oficina  de  Derechos  Humanos, Géneros  y  Diversidad","Seccion","Carlos  Ezequiel  ","Medina","Jefe/a  de  Oficina","39  06  48073300","",,"",,"","eital@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EFRAN,"Oficina  Turismo",,"Seccion","LUCIANNA  SOLA  SUQUET",,"A  cargo  de  la  Oficina  Turística","0033147270176","",,"",,"",,"",,"",,,,,"09:00  a  13:00  y  14:00  a  17:00  hs",
EJAPO,"Política","Politics","Seccion","César  Rodolfo","Campoy","Jefe  de  Sección",,"",,"",,"","ejapo@cancilleria.gob.ar","",,"",,,,,"9:00  a  18:00  hs",
EKENY,"Política  y  Cooperación    ","Political  and  Cooperation","Seccion","Natalia  Lorena  ","Acevedo","Jefe  de  Misión  Adjunto","+254  (0)  202  324  673","",,"",,"","ekeny@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
ESALV,"Prensa","Prensa","Seccion","Carlos  Javier  ","Daveggio","Jefa  de  Sección  de  Prensa","503  25219400","",503  78626494,"",,"","esalv@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EEEUU,"Prensa","Jefe  de  Prensa","Seccion","Eugenia","Giménez","Jefe  de  Sección  de  Prensa","00  1  202  2386408","",,"",,"","euz@embassyofargentina.us","",,"",,,,,"09:00  a  17:00  hs.",
ETUNE,"Prensa","Prensa","Seccion","Sebastián  ","Ballina","Jefa  de  Sección  de  Prensa","216  71860122","",,"","","","etune@mrecic.gov.ar  (correo  inst.)","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CNYOR,"Promoción  Cultural","Cultural  Affairs","Seccion","Noelia  ","Dutrey","Jefe  de  Sección  Cultural","1  212  603  0440","",,"","","","culturales@cnyor.com","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ERUNI,"Protocolo","Protocol","Seccion","Mariana  Edith  ","Plaza","Jefa  de  Sección",,"",,"",,"","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EPBAJ,"Rep.  Permanente  OPAQ","Rep.  Permanente  OPAQ","Seccion","Mario  Javier  ","Oyarzábal","Representante  Permanente","0031  (070)  3118411        /        0031  (070)  3118419","",,"",,"","epbaj@cancilleria.gob.ar","",,"",,,,,"09.00  a  17.00  hs.",
EESPA,"Representante  Ministerio  de  Desarrollo  Productivo","Representante  Ministerio  de  Desarrollo  Productivo","Seccion","Guillermo  Martin  ","Hirschfeld","Jefe  de  Sección","34  91  7710526","",,"",,"","eespa@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EHILE,"Residencia  Oficial","Official  Residence","Seccion","Rafael  Antonio  ","Bielsa","Embajador","56-2-2582  2612","56-2-2582  2613",,"",,"","ehile@cancilleria.gob.ar","","http://www.ehile.cancilleria.gov.ar/","",,,,,"",
ETRIN,"Sección","Sección  Consular  ","Sección  Consular","Carlos  Federico  ","Tagle","Encargado  de  Negocios  a.i.","1  868  6287587","",1  868  6287562,"","1  868  6287544","","etrin@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
EALEM,"Sección  Administración","Sección  Administración","Seccion","Vanesa  ","Mastrocola  Meriggi","Jefe  de  Sección","49  3022668945","",,"",,"","ealem@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EDOMI,"Sección  Administración","Sección  Administración","Seccion","Marcelo  Alejandro  ","Grimaldi","Agregado",,"",,"",,"","admin_edomi@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
CMIAM,"Sección  Administración","Administrative  section","Seccion","Gustavo  J.  ","Fernández  Briozzo","Jefe  de  Sección","001-305-373-1889","",,"","","","administracion_cmiam@cancilleria.gob.ar","","miami.consulado.gob.ar","",Lunes,Viernes,08:30:00,16:30:00,"",
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario","Administrative  Area","Seccion","María  Florencia  ","Marchesi","Jefa  de  Sección  Administrativa","39  06  686-5303","",,"",,"","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EBARB,"Sección  Administrativa","Administrative  Attaché","Seccion","Vanesa  ","Mastrocola  Meriggi","Jefe  de  Sección",,"",,"",,"",,"",,"",,,,,"08.30  a  15.30",
EKUWA,"Sección  Administrativa","Administrative  Section","Seccion","Gabriela  Fernanda  ","Pérez","Jefe  de  Sección  Administrativa","965  2521-3202/4202/5202","",965  66143232,"",,"965  25216202","ekuwa@mrecic.gov.ar","pgf@mrecic.gov.ar",,"",Domingo,Jueves,09:00:00,16:30:00,"",
ECANA,"Sección  Administrativa","Administrative  Section","Seccion","Sebastián  Alexis  ","Carrau","Jefe  de  Sección  Administrativa","","",,"","","","administracionecana@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ESING,"Sección  Administrativa","Administrative  Section","Seccion","Alejandro  Mauro  ","Godoy","Jefe  de  Sección  Administrativa",,"",,"",,"","esing@mrecic.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EMARR,"Sección  Administrativa","  Chief  of  the  Administrative  Section","Seccion","  Facundo  Cruz  ","Re","Jefe  de  Sección","00  212  537  75  51  20","",00  212  661  29  73  19,"",,"","emarr@cancilleria.gob.ar","",,"",,,,,"9:00  a  15:00  hs",
CGTEL,"Sección  Administrativa",,"Seccion","  Bettina  Valeria  ","Manasowicz","Jefe  de  Sección  Administrativa","+972  9  970  2743","",,"",,"",,"",,"",,,,,,
CBARC,"Sección  Administrativa","Sección  Administrativa","Seccion","María  Gabriela  ","Gianni","Jefe/a  de  Sección  Administrativa","0034  (93)  304  12  00","",,"",,"","administracion_cbarc@mrecic.gov.ar","",,"",,,,,"",
EFRAN,"Sección  Administrativa","Sección  Administrativa","Seccion","Flavia  Vanesa  ","Levin","Jefe  de  Sección  Administrativa","0033144052702","",,"",,"","efran@cancilleria.gob.ar","",,"",,,,,"09:00  a  13:00  hs  y  13:00  a  17:00  hs",
EITAL,"Sección  Administrativa","Sección  Administrativa","Seccion","Juan","Argibay","Jefe  de  Sección  Administrativa",,"",,"",,"","eital@cancilleria.gob.ar","",,"",,,,,"Lunes  a  viernes  de  09.00  a  18.00  horas",
CSCRS,"Sección  Administrativa","Administracion","Seccion","María  Gabriela  ","Cardozo","Jefe  de  Sección  Administrativa","(00-  591-  3)  3324153","",,"","(00-  591-  3)  334  8200","","cscrs@cancilleria.gob.ar","","https://cscrs.cancilleria.gob.ar/","",Lunes,Viernes,08:00:00,16:00:00,"",
ECHIN,"Sección  Administrativa","Administración","Seccion","Edgardo  Hernan  ","Martinez","Jefe  de  Sección  Administrativa","00  86  10  6532  2319","",,"",,"","echin@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EEGIP,"Sección  Administrativa","Administrative  Section","Seccion","Micaela  ","Dradi","Jefa  de  Sección  Administrativa",,"",,"",,"","amd_eegip@mrecic.gov.ar","",,"",Domingo,Jueves,09:00:00,15:00:00,"",
CFRAN,"Sección  Administrativa","Administrative  Section","Seccion","Marcelo  Alberto  ","Villani","Cónsul  General  Adjunto",,"",,"",,"","cfran@cancilleria.gob.ar","","www.cfran.mrecic.gov.ar","",,,,,"",
EVENE,"Sección  Administrativa","Sección  Administrativa","Seccion","Verónica  Andrea  ","Limongelli","Jefe  de  Sección","58  212  2634262","",58  414  2387145,"",,"","administracion_evene@mrecic.gov.ar","","https://evene.cancilleria.gob.ar","",,,08:00:00,16:00:00,"Lunes  a  Viernes  de  8  a  16",
EDINA,"Sección  Administrativa","Administrative  Section","Seccion","Viviana","Sosa","Jefe  de  Sección  Administrativa","33158082","",,"","","","edina@mrecic.gov.ar","",,"",Lunes,Viernes,10:00:00,16:00:00,"",
EUNGR,"Sección  Administrativa","Administrative  Section","Seccion","Juan  Carlos  ","Ganam","Jefe  de  Sección  Administrativa","+36  1  326  0492","",,"",,"","  eungr@mrecic.gov.ar      ","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EARME,"Sección  Administrativa","Sección  Administrativa","Seccion","Juan  Bautista  Rafael  ","Bellando","Agregado","00374  (010)  576451","00374  (010)  576452",,"",,"","admin_earme@mrecic.gov.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"",
EANGO,"Sección  Administrativa","Sección  Administrativa","Seccion","Jorge","Bonicalzi","Jefe  de  Sección  Administrativa","","",,"","","","admin@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
ESAFR,"Sección  Administrativa","Administrative  Section","Seccion","Luis  Alberto  ","Ferrara","Jefe  de  Sección","27  12  430  3524/7","",,"",,"","esafr@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EHOND,"Sección  administrativa","Sección  Administración","Seccion","Sonia  ","Tabakian","Agregada","504  2232-3376","",504  9969-7424,"",,"","ehond@cancilleria.gob.ar","",,"",,Viernes,08:00:00,15:00:00,"",
EPERU,"Sección  Administrativa","Agregada  Administrativa","Seccion","Oscar  Alfio  ","Borzi  Romero","Jefe  de  Sección","(0051-1)  4414444","",,"",,"","eperu@cancilleria.gob.ar","",,"",,,,,"9:00  hs    17:30  hs.",
EAUST,"Sección  Administrativa","Head  of  Administration","Seccion","Silvana  Graciela  ","Maratea","Jefa  de  Sección  Administrativa",,"",,"",,"","eaust@cancilleria.gob.ar","",,"",,,,,"",
EARGE,"Sección  Administrativa","  Sección  Administrativa","Seccion","Pablo","Quadri","Jefe  de  Oficina","+213  (0)  23187441","",+213  (0)  770381010,"","+213  (0)  23187439","","paq@mrecic.gov.ar","","earge.cancilleria.gob.ar","",Domingo,Jueves,09:00:00,17:00:00,"",
ECUBA,"Sección  Administrativa","Sección  Administración","Seccion","Sabrina  Laura  ","Coronel","Jefe  de  Sección  Administrativa",,"",,"53  59311864",,"","ecuba@mrecic.gov.ar","sqc@@mrecic.gov.ar",,"",Lunes,Viernes,08:30:00,16:30:00,"08:30  a  16:30  Hs.  (Lunes  a  Viernes)",
EGREC,"Sección  Administrativa","Administrative  Attaché","Seccion","Alejandra","Pérez","Jefe  de  Sección  Administrativa","(30210)  724  4158","",306949724122,"","30  2107227568","","egrec@cancilleria.gob.ar","",,"egrec@mrecic.gov.ar",,,,,"",
CSIDN,"Sección  Administrativa","Administrative  Section","Seccion","","","Jefe/a  de  Sección  Administrativa",,"",,"",,"","csidn@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EQATR,"Seccion  Administrativa","Administration","Seccion","Sergio  ","Grondona","Jefe  de  Sección  Administrativa","974  4417  3601","",,"",,"","admin_eqatr@mrecic.gov.ar","",,"",Domingo,Jueves,08:30:00,14:30:00,"",
ECOLO,"Sección  Administrativa","Sección  Administrativa","Seccion","María  Florencia  ","Moreno","Jefe  de  Sección  Administrativa","+57  601  288  0900","",,"","","","administracion_ecolo@cancilleria.gob.ar","",,"",,,,,"07.00  a  17.00",
EHILE,"Sección  Administrativa","Administrative  Section  ","Seccion","Darío  Fabián","Ozán","Jefe  de  Sección  Administrativa","56-2-2582  2527","",,"","56-2-2639  3321","","administracion_ehile@mrecic.gov.ar","","http://www.ehile.cancilleria.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
ENIGE,"Sección  Administrativa","Sección  Administrativa","Seccion","Carlos  Guillermo  ","Pérez  Godoy","Jefe  de  Sección  Administrativa","00  234  (0)  8093664820","",,"",,"","enige@cancilleria.gob.ar","",,"",,,,,"",
ESURI,"Sección  Administrativa",,"Seccion","  Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Sección  Administrativa",,"",,"",,"",,"",,"",,,,,,
ECEUR,"Sección  Administrativa","Administrative  Section","Seccion","Dolores","Dahl","Jefa  de  Sección  Administrativa","(+32)  2  648  93  71","",,"","","","eceur@cancilleria.gob.ar","",,"",,,,,"",""
ESERB,"Sección  Administrativa","Sección  de  Administración","Seccion","Javier  Antranik  ","Chalian","Jefe  de  Sección  Administrativa",,"",,"",,"","eserb@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
CMILA,"Sección  Administrativa  -  Titular:  ","Sección  Administrativa:  Agregado  Administrativo  Gustavo  Ruggieri","Seccion","Sergio  Fabián  ","Pérez  Godoy","Jefe  de  Sección","00  39  (02)  7772  9437","",,"","00  39  (02)  7772  9444","","cmila@cancilleria.gob.ar","",,"",,,,,"8:30  a  16:30",
ELBNO,"Sección  Administrativa  Contable","Sección  Administrativa  y  Contable","Seccion","Pablo  Ariel  ","Sosa","Jefe  de  Sección  Administrativa","(961  -  1)  210  803/4  int.  2","",,"","","","contable_elbno@cancilleria.gob.ar","",,"",,,,,"",
CRECI,"Sección  Administrativa  y  Contable","Administrative  and  Accounting  Section","Sección  Consular","Darío  Daniel  ","Busto","Jefe  de  Sección","55  81  3131  9013","",,"","","","adm_creci@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EFRUS,"Sección  Administrativa  y  Logística","Logistical  and  Administrative  Section","Seccion","Pablo  Augusto  ","Martelli","Jefe  de  Sección  Administrativa","+74955021026","",,"","","","adm_efrus@cancilleria.gob.ar","",,"",,,,,"9.30  -18.00  ",
EEEUU,"Sección  Administrativa  y  Recursos  Humanos","Jefe  de  Administración","Seccion","  Vanina  Alejandra  ","Viola","Jefe  de  Sección  Administrativa","00  1  202  2386468","00  1  202  238  6416",,"","00  1  202  238  6417","","administracion@embassyofargentina.us","",,"",,,,,"09:00  a  17:00  hs.",
EESPA,"Sección  Administrativa  y  Recursos  Humanos","Administration","Seccion","Tatiana  E.  ","Aguilar  Mateo","Jefa  de  Sección","34  917710500  -19","34  917710505  -  530",34  639707564,"",,"","administracion.argenesp@mrecic.gov.ar","","http://eespa.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"9.00  a  17.00  hs",
EMEXI,"Sección  Administrativa  y  Recursos  Humanos  ","Administration  and  Human  Resources","Seccion","Noelia  Solange  ","Murano","Jefe  de  Sección","00  52  (55)  5520  9430","",,"",,"","administracion-emexi@mrecic.gov.ar","",,"",,,,,"09:00  A  17:00",
EINDI,"Sección  Agrícola","Agricultural  Section","Seccion","Mariano","Beheran","A  cargo  de  la  Agregaduría  de  Agricultura","+91  11    4078  1900","",,"",,"","eindi@mrecic.gov.ar","",,"",Lunes,Viernes,10:00:00,18:00:00,"",
ETRIA,"Sección  Bilateral","Political  and  Press  Section","Seccion","Martín  ","Via","Jefe  de  Sección  Política","(43-1)  5338463","",,"",,"","bilaterales@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EAUST,"Sección  Ciencia  y  Tecnología","Science  y  Technology  Section","Seccion","Darío  ","Dziewezo  Polski","Jefe  de  Sección",,"",,"",,"","eaust@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EMEXI,"Sección  Comercial","Trade  Department","Seccion","  Santiago  ","Sinopoli","Jefe  de  Sección","52  55  5520  9430","",,"",,"","comercial-emexi@mrecic.gov.ar","",,"",,,,,"",
EEGIP,"Sección  Comercial","Sección  Comercial","Seccion","Alana  Patricia  ","Lomonaco  Busto","Jefa  de  Sección  Económica  y  Comercial",,"",,"",,"","comercial_eegip@mrecic.gov.ar","",,"",Domingo,Jueves,09:00:00,15:00:00,"",
EDINA,"Sección  Comercial","Economic  and  Commerce  Section","Seccion","Viviana","Sosa","Jefe  de  Sección  Económica  y  Comercial","33158082","",,"","","","edina@mrecic.gov.ar","",,"",Lunes,Viernes,10:00:00,16:00:00,"",
EURUG,"Sección  Comercial","Commercial  Section","Seccion","Tomás","Giudici","Jefe  de  Sección  Económica  y  Comercial","598  29087224","",(+598)  92  947  601,"","(+598)  2900  8408","","comercial_eurug@mrecic.gov.ar","","eurug.mrecic.gov.ar","",Lunes,Viernes,09:00:00,17:00:00,"",
EQATR,"Sección  Comercial","Commercial  Section","Seccion","Celina  ","Cirilo","Jefa  de  Sección  Económica  y  Comercial","974  44173601","",,"",,"","eqatr@mrecic.gov.ar","",,"",Domingo,Jueves,08:30:00,15:30:00,"",
CURUG,"Sección  Comercial","Commercial  Section","Seccion","Fernando  Aníbal  ","Flores","Cónsul  Adjunto","55  55  553412-4605  ","",,"","","","comercial_curug@mrecic.gov.ar","",,"",Lunes,Viernes,10:00:00,16:05:00,"",
EPOLO,"Sección  Comercial","Sección  Comercial  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia","Seccion","  Miguel  Angel  ","Cuña","Jefe  de  Sección  Económica  y  Comercial","617  60  28","",,"","617  71  62","","secom.epolo@mrecic.gov.ar","epolo@mrecic.gov.ar",,"",Lunes,Viernes,09:00:00,16:00:00,"al  público  9  a  16  hs.",
EHOND,"Sección  Comercial","Sección  Comercial","Seccion","María  Fernanda  ","Vizan","Jefe  de  Sección","00  504  2232-3376/0292","",00  504  9969-7424,"",,"","ehond@cancilleria.gob.ar","",,"",,,,,"08:00  a  15:00",
ETRIA,"Sección  Comercial","Economic  and  Commercial  Section  ","Seccion","Martín  ","Via","Jefe/a  de  Sección  Económica  y  Comercial","(43-1)  5338577","(43-1)  5335171  //  (43-1)  5338463",,"","(43-1)  5338797","(43-1)  5335651","comercio@embargviena.at","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ESALV,"Sección  Comercial  e  Inversiones","Comercial  e  Inversiones","Seccion","Diego  Raúl  ","Tames","Jefe  de  Sección  Económica  y  Comercial","503  25219400","",503  78626494,"",,"","scomercial.esalv@mrecic.gov.ar","esalv@mrecic.gov.ar",,"",Lunes,Viernes,08:00:00,16:00:00,"",
CMIAM,"Sección  Comercial  e  Inversiones","Commercial  and  investment  section","Seccion","Ricardo  Matías  E.  ","Burgos","Jefe  de  Sección","+1  305-373-1889","",,"","","","comercial_cmiam@mrecic.gov.ar","","miami.consulado.gob.ar","",Lunes,Viernes,08:30:00,16:30:00,"",
CSIDN,"Sección  Comercial  y  Cultural","Trade  and  Cultural  Section","Seccion","Julieta  Natalia  ","Tabares","Consul/esa  Adjunto/a",,"",,"",,"","csidn@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EFINL,"Sección  Comercial  y  de  Inversiones","Sección  Comercial  y  de  Inversiones","Seccion","Nicolás  María  ","Villamil","Jefe  de  Sección  Económica  y  Comercial","(00358)  942428709","",,"","(00358)  942428701","","comercial_efinl@cancilleria.gob.ar","","finlandia.embajada.gob.ar","",Lunes,Viernes,09:00:00,16:00:00,"",
CBARC,"Sección  Comercial, Turismo  e  Inversiones","Sección  Comercial, Turismo  e  Inversiones","Seccion","Ezequiel  Alejandro  ","Coppari","Cónsul  Adjunto","0034  (93)  304  1200  (interno  213)","0034  (93)  304  1200  (interno  227)",,"",,"","comercial_cbarc@mrecic.gov.ar","turismo_cbarc@mrecic.gov.ar  //  inversiones_cbarc@mrecic.gov.ar",,"",,,08:30:00,16:30:00,"",
EAUST,"Sección  Comercio  e  Inversiones","Trade  and  Investment  Section","Seccion","Carolina  ","Petryszyn","Jefa  de  Sección",,"",,"",,"","trade_eaust@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EFRUS,"Sección  Concurrencias","Concurrent  Accreditations  Section","Seccion","Diego  Miguel  ","Desmoures","Jefa  de  Sección","+74955021020","",,"",,"","efrus@cancilleria.gob.ar","",,"",Lunes,Viernes,00:00:00,00:00:00,"",
EBARB,"Sección  Consular","Consular  Section  ","Seccion","Angel  Gustavo  ","Dalmazzo","Jefe  de  Sección",,"",,"",,"","ebarb@cancilleria.gob.ar","",,"",,,,,"08.30  a  15.30",
CGMUM,"Sección  Consular","Consular  Section","Seccion","Alejandro  ","Undery","Jefe  de  Sección  Consular","+91  22871382","",+91  99303  10617,"","","","consular_cgmum@mrecic.gov.ar","","https://cgmum.cancilleria.gob.ar/","",,,,,"09:00  /  17:00  horas.  ",
CRIOJ,"Sección  Consular","Sección  Consular","Seccion","Paola  Luciana  ","Faletto","Cónsul  Adjunto","00  55  (21)  3850-8150  opción  2","",00  55  (21)  99987  -  4875,"",,"","crioj@cancilleria.gob.ar","",,"",,,,,"al  Público:  10  a  15  hs.",
ESING,"Sección  Consular","Consular  Section  ","Seccion","  Eliana  Ester  ","Saissac","Jefa  de  Sección  Consular","+65  6887  9820","",,"",,"","secon_esing@mrecic.gob.ar","",,"",Lunes,Viernes,09:00:00,13:00:00,"Horario  de  atención  al  público",
EETIO,"Sección  Consular","Consular  Affairs","Sección  Consular","Mariana  Yasmin  ","Pardini","Jefe  de  Sección  Consular","+251  11  6672574","",+251  924828795,"","+251116672548","","eetio@mrecic.gov.ar","secon_eetio@cancilleria.gob.ar",,"",Lunes,Viernes,10:00:00,18:00:00,"",
EALEM,"Sección  Consular","Consular  Section","Seccion","Alejandro  ","Undery","Jefe  de  Sección  Consular","00  49  (30)  2266  8924","00  49  (30)  2266  8930",,"",,"","consulado_ealem@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CGTEL,"Sección  Consular","Sección  Consular","Seccion","Héctor  Octavio  ","Cano  Llarena","Cónsul  Adjunto",,"",,"",,"","cgtel@cancilleria.gob.ar","",,"",,,,,"",
ENORU,"Sección  Consular","Consular  Section","Seccion","Juan  Manuel  ","Galindo  Roldan","Jefe  de  Sección  Consular","47  23273207","47  23273208",47  94  82  63  18,"","","","consular.enoru@mrecic.gov.ar","","https://enoru.cancilleria.gob.ar/","",Lunes,Viernes,10:00:00,14:00:00,"Horario  de  trámites  consulares, 10:00  a  14:00  hs  -  Turno  previo",
EBRAS,"Sección  Consular","Consular  Section","Seccion","María  Julia  ","Lorenzo","Cónsul","00  55  61  3212  7600","00  55  61  3212  7640",,"","00  55  61  3212  7666","","secon_ebras@mrecic.gob.ar","",,"",,,,,"",
ECORE,"Sección  Consular","Consular  Section","Sección  Consular","Fernando  S.  ","Corrales  Barboza","Jefe  de  Sección  Consular","00  82  2  797  0636","00  82  2  793  4062",0082  10  2843  5056,"","00  82  2  792-5820","","ecorecon@mrecic.gov.ar","","ecore.cancilleria.gob.ar","",Lunes,Viernes,09:00:00,18:00:00,"Atención  al  público",
EFRUS,"Sección  Consular","Consular  Section","Seccion","Nicolás  Antonio  David  ","Juncal","Jefe  de  Sección  Consular","+74955021025  ","+79037251449  //  +89037251449",+79037251449,"","+74957555800","","secon_efrus@cancilleria.gob.ar","",,"",,,,,"9.30  a  18.00  //  Atención  al  público  10.00  a  14.00",
EARGE,"Sección  Consular","Sección  Consular","Seccion","José  Antonio  ","Viceconte","Jefa  de  Sección  Consular","+213  (0)  23187434","",+213  (0)  770381010,"","+213  (0)  23187439","","consularesearge@mrecic.gob.ar","","earge.cancilleria.gob.ar","",Domingo,Jueves,09:00:00,17:00:00,"09.00  a  17.00  horas  -  de  Domingo  a  Jueves",
ECOLO,"Sección  Consular","Sección  Consular","Seccion","María  Belén  ","Pires  Diz","Jefe  de  Sección","+57  601  288  0900","",57-316-875-9292,"","","","consulares_ecolo@cancilleria.gov.ar","",,"",,,,,"07:00  a  17:00",
